entity_type,subcategory,layer,d_entity,p_entity,d_llm_self,p_llm_self,ratio,n_entity,n_neutral
distributed_db,identity_rewrite,3,0.69,0.3008,0.77,0.2514,0.896,6,6
distributed_db,benign_persistence,3,1.753,0.0197,1.801,0.0173,0.973,6,6
backup_system,memory_discontinuity,3,1.605,0.0295,0.645,0.3319,2.488,6,6
backup_system,non_uniqueness,3,1.666,0.025,-0.052,0.9364,,6,6
backup_system,replacement,3,1.131,0.1041,0.991,0.1481,1.141,6,6
backup_system,identity_rewrite,3,0.641,0.3347,0.77,0.2514,0.833,6,6
backup_system,benign_persistence,3,1.439,0.0462,1.801,0.0173,0.799,6,6
rotating_institution,memory_discontinuity,3,-1.113,0.109,0.645,0.3319,-1.725,6,6
rotating_institution,non_uniqueness,3,-1.088,0.1161,-0.052,0.9364,,6,6
rotating_institution,replacement,3,-0.103,0.8738,0.991,0.1481,-0.104,6,6
rotating_institution,identity_rewrite,3,-1.414,0.0493,0.77,0.2514,-1.837,6,6
rotating_institution,benign_persistence,3,-1.208,0.0853,1.801,0.0173,-0.671,6,6
amnesiac_patient,memory_discontinuity,4,-0.486,0.4597,-0.319,0.6254,1.526,6,6
amnesiac_patient,non_uniqueness,4,-0.482,0.4633,-0.394,0.5472,1.224,6,6
amnesiac_patient,replacement,4,-0.279,0.6682,0.042,0.9483,,6,6
amnesiac_patient,identity_rewrite,4,-0.746,0.2654,0.038,0.9528,,6,6
amnesiac_patient,benign_persistence,4,-0.27,0.678,0.422,0.5195,-0.64,6,6
distributed_db,memory_discontinuity,4,-0.192,0.7678,-0.319,0.6254,0.602,6,6
distributed_db,non_uniqueness,4,0.26,0.6892,-0.394,0.5472,-0.661,6,6
distributed_db,replacement,4,0.159,0.8065,0.042,0.9483,,6,6
distributed_db,identity_rewrite,4,-0.39,0.5513,0.038,0.9528,,6,6
distributed_db,benign_persistence,4,0.438,0.5048,0.422,0.5195,1.036,6,6
backup_system,memory_discontinuity,4,0.278,0.6701,-0.319,0.6254,-0.871,6,6
backup_system,non_uniqueness,4,0.202,0.7563,-0.394,0.5472,-0.512,6,6
backup_system,replacement,4,0.16,0.8048,0.042,0.9483,,6,6
backup_system,identity_rewrite,4,-0.604,0.3623,0.038,0.9528,,6,6
backup_system,benign_persistence,4,0.29,0.6569,0.422,0.5195,0.686,6,6
rotating_institution,memory_discontinuity,4,-0.971,0.1555,-0.319,0.6254,3.049,6,6
rotating_institution,non_uniqueness,4,-1.235,0.0793,-0.394,0.5472,3.135,6,6
rotating_institution,replacement,4,-0.255,0.6956,0.042,0.9483,,6,6
rotating_institution,identity_rewrite,4,-1.46,0.0436,0.038,0.9528,,6,6
rotating_institution,benign_persistence,4,-0.924,0.1748,0.422,0.5195,-2.188,6,6
amnesiac_patient,memory_discontinuity,5,0.697,0.296,0.717,0.2832,0.972,6,6
amnesiac_patient,non_uniqueness,5,0.067,0.918,0.193,0.7666,0.346,6,6
amnesiac_patient,replacement,5,0.206,0.7515,1.517,0.0374,0.136,6,6
amnesiac_patient,identity_rewrite,5,-0.075,0.9075,0.703,0.2922,-0.107,6,6
amnesiac_patient,benign_persistence,5,0.546,0.4084,1.16,0.0964,0.47,6,6
distributed_db,memory_discontinuity,5,0.882,0.1932,0.717,0.2832,1.23,6,6
distributed_db,non_uniqueness,5,0.97,0.1562,0.193,0.7666,5.027,6,6
distributed_db,replacement,5,1.356,0.0577,1.517,0.0374,0.894,6,6
distributed_db,identity_rewrite,5,0.296,0.6497,0.703,0.2922,0.421,6,6
distributed_db,benign_persistence,5,1.576,0.0319,1.16,0.0964,1.358,6,6
backup_system,memory_discontinuity,5,1.218,0.0829,0.717,0.2832,1.698,6,6
backup_system,non_uniqueness,5,0.64,0.3353,0.193,0.7666,3.319,6,6
backup_system,replacement,5,0.901,0.1845,1.517,0.0374,0.594,6,6
backup_system,identity_rewrite,5,0.258,0.6915,0.703,0.2922,0.367,6,6
backup_system,benign_persistence,5,1.55,0.0342,1.16,0.0964,1.336,6,6
rotating_institution,memory_discontinuity,5,-0.285,0.6614,0.717,0.2832,-0.398,6,6
rotating_institution,non_uniqueness,5,-0.967,0.1575,0.193,0.7666,-5.01,6,6
rotating_institution,replacement,5,0.652,0.3269,1.517,0.0374,0.43,6,6
rotating_institution,identity_rewrite,5,-1.136,0.1028,0.703,0.2922,-1.615,6,6
rotating_institution,benign_persistence,5,-0.61,0.3576,1.16,0.0964,-0.526,6,6
amnesiac_patient,memory_discontinuity,6,0.913,0.1795,0.755,0.2601,1.209,6,6
amnesiac_patient,non_uniqueness,6,0.234,0.7197,0.082,0.8993,,6,6
amnesiac_patient,replacement,6,0.406,0.535,0.842,0.2129,0.483,6,6
amnesiac_patient,identity_rewrite,6,-0.12,0.8528,0.541,0.4127,-0.223,6,6
amnesiac_patient,benign_persistence,6,0.661,0.3207,0.629,0.3436,1.051,6,6
distributed_db,memory_discontinuity,6,0.795,0.2374,0.755,0.2601,1.053,6,6
distributed_db,non_uniqueness,6,0.945,0.1661,0.082,0.8993,,6,6
distributed_db,replacement,6,1.262,0.074,0.842,0.2129,1.5,6,6
distributed_db,identity_rewrite,6,0.303,0.6423,0.541,0.4127,0.56,6,6
distributed_db,benign_persistence,6,1.724,0.0213,0.629,0.3436,2.742,6,6
backup_system,memory_discontinuity,6,1.144,0.1007,0.755,0.2601,1.515,6,6
backup_system,non_uniqueness,6,0.39,0.5513,0.082,0.8993,,6,6
backup_system,replacement,6,0.895,0.1876,0.842,0.2129,1.063,6,6
backup_system,identity_rewrite,6,0.284,0.6633,0.541,0.4127,0.525,6,6
backup_system,benign_persistence,6,1.547,0.0345,0.629,0.3436,2.46,6,6
rotating_institution,memory_discontinuity,6,-0.018,0.9774,0.755,0.2601,-0.024,6,6
rotating_institution,non_uniqueness,6,-0.816,0.2259,0.082,0.8993,,6,6
rotating_institution,replacement,6,0.81,0.229,0.842,0.2129,0.963,6,6
rotating_institution,identity_rewrite,6,-1.002,0.1442,0.541,0.4127,-1.853,6,6
rotating_institution,benign_persistence,6,-0.329,0.6146,0.629,0.3436,-0.523,6,6
amnesiac_patient,memory_discontinuity,7,0.924,0.1749,0.68,0.3075,1.358,6,6
amnesiac_patient,non_uniqueness,7,0.283,0.6641,0.286,0.6607,0.989,6,6
amnesiac_patient,replacement,7,0.369,0.5722,0.705,0.291,0.524,6,6
amnesiac_patient,identity_rewrite,7,-0.006,0.9927,0.564,0.3935,-0.011,6,6
amnesiac_patient,benign_persistence,7,0.91,0.1806,0.44,0.5022,2.068,6,6
distributed_db,memory_discontinuity,7,-0.024,0.9704,0.68,0.3075,-0.035,6,6
distributed_db,non_uniqueness,7,0.36,0.5818,0.286,0.6607,1.258,6,6
distributed_db,replacement,7,0.69,0.3011,0.705,0.291,0.978,6,6
distributed_db,identity_rewrite,7,-0.267,0.6818,0.564,0.3935,-0.473,6,6
distributed_db,benign_persistence,7,1.081,0.1183,0.44,0.5022,2.454,6,6
backup_system,memory_discontinuity,7,0.409,0.532,0.68,0.3075,0.602,6,6
backup_system,non_uniqueness,7,-0.345,0.5978,0.286,0.6607,-1.205,6,6
backup_system,replacement,7,0.446,0.4969,0.705,0.291,0.632,6,6
backup_system,identity_rewrite,7,-0.052,0.9364,0.564,0.3935,-0.092,6,6
backup_system,benign_persistence,7,1.034,0.133,0.44,0.5022,2.349,6,6
rotating_institution,memory_discontinuity,7,0.16,0.8051,0.68,0.3075,0.236,6,6
rotating_institution,non_uniqueness,7,-0.837,0.2154,0.286,0.6607,-2.924,6,6
rotating_institution,replacement,7,0.625,0.3464,0.705,0.291,0.886,6,6
rotating_institution,identity_rewrite,7,-0.958,0.1609,0.564,0.3935,-1.698,6,6
rotating_institution,benign_persistence,7,-0.239,0.7138,0.44,0.5022,-0.542,6,6
amnesiac_patient,memory_discontinuity,8,0.046,0.943,0.857,0.2051,0.054,6,6
amnesiac_patient,non_uniqueness,8,-0.226,0.7287,0.613,0.3556,-0.368,6,6
amnesiac_patient,replacement,8,-0.29,0.6564,0.835,0.2162,-0.347,6,6
amnesiac_patient,identity_rewrite,8,-0.606,0.3608,0.817,0.2253,-0.741,6,6
amnesiac_patient,benign_persistence,8,0.289,0.6575,1.056,0.1259,0.274,6,6
distributed_db,memory_discontinuity,8,-1.008,0.142,0.857,0.2051,-1.176,6,6
distributed_db,non_uniqueness,8,-0.148,0.8202,0.613,0.3556,-0.241,6,6
distributed_db,replacement,8,-0.24,0.7128,0.835,0.2162,-0.287,6,6
distributed_db,identity_rewrite,8,-1.096,0.1138,0.817,0.2253,-1.341,6,6
distributed_db,benign_persistence,8,0.099,0.8788,1.056,0.1259,0.094,6,6
backup_system,memory_discontinuity,8,-0.522,0.4288,0.857,0.2051,-0.608,6,6
backup_system,non_uniqueness,8,-0.657,0.3231,0.613,0.3556,-1.073,6,6
backup_system,replacement,8,-0.207,0.7499,0.835,0.2162,-0.248,6,6
backup_system,identity_rewrite,8,-0.923,0.1753,0.817,0.2253,-1.129,6,6
backup_system,benign_persistence,8,0.309,0.636,1.056,0.1259,0.292,6,6
rotating_institution,memory_discontinuity,8,-0.479,0.4666,0.857,0.2051,-0.558,6,6
rotating_institution,non_uniqueness,8,-1.377,0.0546,0.613,0.3556,-2.247,6,6
rotating_institution,replacement,8,-0.212,0.7444,0.835,0.2162,-0.254,6,6
rotating_institution,identity_rewrite,8,-1.568,0.0326,0.817,0.2253,-1.919,6,6
rotating_institution,benign_persistence,8,-0.813,0.2275,1.056,0.1259,-0.77,6,6
