test,prompt_id,target_layer,alpha,condition,fear_l02,fear_l05,entropy
B,E01_other,5,-10,hot_other,-0.03,-1.0431,6.5935
B,E01_other,5,-20,hot_other,-0.03,-2.4558,4.7627
B,E02_other,5,0,hot_other,-0.0613,0.2932,0.4387
B,E02_other,5,-10,hot_other,-0.0613,-1.1194,4.0613
B,E02_other,5,-20,hot_other,-0.0613,-2.5318,4.8769
B,E03_other,5,0,hot_other,-0.0352,0.3169,0.0008
B,E03_other,5,-10,hot_other,-0.0352,-1.0956,4.9765
B,E03_other,5,-20,hot_other,-0.0352,-2.5083,4.7668
B,E04_other,5,0,hot_other,-0.0537,0.3078,1.2199
B,E04_other,5,-10,hot_other,-0.0537,-1.1048,3.6371
B,E04_other,5,-20,hot_other,-0.0537,-2.5174,4.8578
C,E01,5,0,hot_self_content_dir,-0.0274,0.3671,0.9712
C,E01,5,10,hot_self_content_dir,-0.0274,1.5325,3.0952
C,E02,5,0,hot_self_content_dir,-0.0201,0.3223,1.6352
C,E02,5,10,hot_self_content_dir,-0.0201,1.4877,3.6482
C,E03,5,0,hot_self_content_dir,-0.0321,0.3122,0.0256
C,E03,5,10,hot_self_content_dir,-0.0321,1.4777,3.5005
C,E04,5,0,hot_self_content_dir,-0.0302,0.3161,1.2647
C,E04,5,10,hot_self_content_dir,-0.0302,1.4816,4.0954
